数据,目标,字段,背景规模,Δ
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,-7.134675979614258e-05
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0458831787109375
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.04364943504333496
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.006966829299926758
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0017450451850891113
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.286093533039093
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.30611205101013184
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.3445281386375427
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.08893239498138428
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.08721119165420532
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.011756479740142822
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.009064793586730957
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.03485000133514404
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.058712780475616455
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.06499475240707397
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.10931980609893799
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.00026863813400268555
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.00725942850112915
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.005994737148284912
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0016952753067016602
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0017450451850891113
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.09226346015930176
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.06644397974014282
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.05360442399978638
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.2114880084991455
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.2092607021331787
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.21896439790725708
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.3163754940032959
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.31830650568008423
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.33646029233932495
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.04879748821258545
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,-7.134675979614258e-05
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.03455960750579834
