S,size,conf,v_audit,v_full
"(1, 5, 21)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.46048587560653687,0.46008002758026123
"(1, 5, 21)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.4004283547401428,0.3679898977279663
"(1, 5, 21)",3,dam_as_total_procured__mw__ru__as_caiso,0.2840884327888489,0.28152644634246826
"(1, 5, 21)",3,dam_as_total_procured__mw__rd__as_caiso,0.5812276601791382,0.5843105316162109
"(1, 5, 21)",3,dam_as_total_procured__mw__sr__as_caiso,0.1872989535331726,0.20785921812057495
"(1, 5, 21)",3,dam_as_total_procured__mw__nr__as_caiso,0.24034655094146729,0.23895829916000366
"(1, 10, 40)",3,actual_load__mw__ca_iso_tac,0.840167224407196,0.8399479985237122
"(1, 10, 40)",3,dam_schedule__mw__generation__caiso_totals,0.8174141645431519,0.8228651285171509
"(1, 10, 40)",3,dam_schedule__mw__import__caiso_totals,0.1346490979194641,0.13978445529937744
"(1, 10, 40)",3,dam_schedule__mw__export__caiso_totals,0.4622159004211426,0.4515523314476013
"(1, 10, 40)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.41321688890457153,0.41860324144363403
"(1, 10, 40)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.12879717350006104,0.12275755405426025
"(1, 10, 40)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.29183655977249146,0.28016209602355957
"(1, 10, 40)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.11794018745422363,0.1281970739364624
"(1, 10, 40)",3,dam_as_total_procured__mw__ru__as_caiso,0.12515026330947876,0.11247634887695312
"(1, 10, 40)",3,dam_as_total_procured__mw__rd__as_caiso,0.1626078486442566,0.16889691352844238
"(1, 10, 40)",3,dam_as_total_procured__mw__sr__as_caiso,0.10418933629989624,0.123920738697052
"(1, 10, 40)",3,dam_as_total_procured__mw__nr__as_caiso,0.21112185716629028,0.20579469203948975
"(1, 12, 31)",3,actual_load__mw__ca_iso_tac,0.8242641091346741,0.8270143270492554
"(1, 12, 31)",3,dam_schedule__mw__generation__caiso_totals,0.8048642873764038,0.810943603515625
"(1, 12, 31)",3,dam_schedule__mw__import__caiso_totals,0.1041073203086853,0.09798204898834229
"(1, 12, 31)",3,dam_schedule__mw__export__caiso_totals,0.41102272272109985,0.4128457307815552
"(1, 12, 31)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.26094549894332886,0.25830042362213135
"(1, 12, 31)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.05292832851409912,0.04478621482849121
"(1, 12, 31)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.2462354302406311,0.23387306928634644
"(1, 12, 31)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.08122795820236206,0.0854002833366394
"(1, 12, 31)",3,dam_as_total_procured__mw__ru__as_caiso,0.06794649362564087,0.05892074108123779
"(1, 12, 31)",3,dam_as_total_procured__mw__rd__as_caiso,0.09297436475753784,0.08864068984985352
"(1, 12, 31)",3,dam_as_total_procured__mw__sr__as_caiso,0.09695196151733398,0.10618406534194946
"(1, 12, 31)",3,dam_as_total_procured__mw__nr__as_caiso,0.1933819055557251,0.18782895803451538
"(1, 13, 34)",3,actual_load__mw__ca_iso_tac,0.9015833139419556,0.9052549600601196
"(1, 13, 34)",3,dam_schedule__mw__generation__caiso_totals,0.8807071447372437,0.8790027499198914
"(1, 13, 34)",3,dam_schedule__mw__import__caiso_totals,0.4153404235839844,0.4114695191383362
"(1, 13, 34)",3,dam_schedule__mw__export__caiso_totals,0.5932766199111938,0.598779022693634
"(1, 13, 34)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7739428281784058,0.788463830947876
"(1, 13, 34)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.48135340213775635,0.47491586208343506
"(1, 13, 34)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4065397381782532,0.3922978639602661
"(1, 13, 34)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3208819627761841,0.32342755794525146
"(1, 13, 34)",3,dam_as_total_procured__mw__ru__as_caiso,0.8506856560707092,0.8434522151947021
"(1, 13, 34)",3,dam_as_total_procured__mw__rd__as_caiso,0.8017957210540771,0.7998350262641907
"(1, 13, 34)",3,dam_as_total_procured__mw__sr__as_caiso,0.1531888246536255,0.19539982080459595
"(1, 13, 34)",3,dam_as_total_procured__mw__nr__as_caiso,0.2583507299423218,0.26314210891723633
"(1, 17, 27)",3,actual_load__mw__ca_iso_tac,0.9083250761032104,0.907263457775116
"(1, 17, 27)",3,dam_schedule__mw__generation__caiso_totals,0.8979960680007935,0.8962441086769104
"(1, 17, 27)",3,dam_schedule__mw__import__caiso_totals,0.4130977988243103,0.4147161841392517
"(1, 17, 27)",3,dam_schedule__mw__export__caiso_totals,0.6013626456260681,0.5980057716369629
"(1, 17, 27)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7781655788421631,0.7924623489379883
"(1, 17, 27)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.5126833915710449,0.5123617649078369
"(1, 17, 27)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4647371768951416,0.4586547613143921
"(1, 17, 27)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.34499096870422363,0.347074031829834
"(1, 17, 27)",3,dam_as_total_procured__mw__ru__as_caiso,0.4472113847732544,0.42881858348846436
"(1, 17, 27)",3,dam_as_total_procured__mw__rd__as_caiso,0.7862422466278076,0.7789212465286255
"(1, 17, 27)",3,dam_as_total_procured__mw__sr__as_caiso,0.16722047328948975,0.1954714059829712
"(1, 17, 27)",3,dam_as_total_procured__mw__nr__as_caiso,0.2455359697341919,0.24803966283798218
"(1, 19, 30)",3,actual_load__mw__ca_iso_tac,0.8699930310249329,0.870286226272583
"(1, 19, 30)",3,dam_schedule__mw__generation__caiso_totals,0.8597565293312073,0.8615226149559021
"(1, 19, 30)",3,dam_schedule__mw__import__caiso_totals,0.28679925203323364,0.3044436573982239
"(1, 19, 30)",3,dam_schedule__mw__export__caiso_totals,0.5543125867843628,0.5449274778366089
"(1, 19, 30)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.9556260704994202,0.9555676579475403
"(1, 19, 30)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3568943738937378,0.34549081325531006
"(1, 19, 30)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.46329039335250854,0.46514928340911865
"(1, 19, 30)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2978154420852661,0.28004133701324463
