sid,size,K,conf,est
p00_03,2,0,gross_actual_interchange_mw,0.16715186834335327
p00_03,2,0,total_gen,0.7735824584960938
p00_03,2,0,metered_load_mw,0.7730766534805298
p00_03,2,0,total_losses,0.50091552734375
p00_03,2,0,congestion_price_da,0.09159088134765625
p00_03,2,0,congestion_price_rt,0.0
p00_03,2,0,marginal_loss_price_da,0.26293087005615234
p00_03,2,0,total_lmp_da,0.35141706466674805
p00_03,2,0,da_as_total_mw_primary_reserve,0.1103670597076416
p00_03,2,0,da_as_total_mw_synchronized_reserve,0.07183694839477539
p00_03,2,0,da_as_total_mw_thirty_minutes_reserve,0.2195252776145935
p00_03,2,5,net_actual_interchange_mw,0.1952241063117981
p00_03,2,5,gross_actual_interchange_mw,0.16202270984649658
p00_03,2,5,total_gen,0.8002173900604248
p00_03,2,5,metered_load_mw,0.8017157316207886
p00_03,2,5,total_losses,0.5099242329597473
p00_03,2,5,congestion_price_da,0.1258203387260437
p00_03,2,5,congestion_price_rt,0.07293671369552612
p00_03,2,5,marginal_loss_price_da,0.28149306774139404
p00_03,2,5,total_lmp_da,0.40989089012145996
p00_03,2,5,da_as_total_mw_primary_reserve,0.11800843477249146
p00_03,2,5,da_as_total_mw_synchronized_reserve,0.09959012269973755
p00_03,2,5,da_as_total_mw_thirty_minutes_reserve,0.273190438747406
p00_03,2,10,net_actual_interchange_mw,0.24777233600616455
p00_03,2,10,gross_actual_interchange_mw,0.16812485456466675
p00_03,2,10,total_gen,0.8034034371376038
p00_03,2,10,metered_load_mw,0.805320143699646
p00_03,2,10,total_losses,0.5153448581695557
p00_03,2,10,congestion_price_da,0.12443423271179199
p00_03,2,10,congestion_price_rt,0.12712275981903076
p00_03,2,10,marginal_loss_price_da,0.2865481972694397
p00_03,2,10,total_lmp_da,0.40200650691986084
p00_03,2,10,da_as_total_mw_primary_reserve,0.11598104238510132
p00_03,2,10,da_as_total_mw_synchronized_reserve,0.12326997518539429
p00_03,2,10,da_as_total_mw_thirty_minutes_reserve,0.3036123514175415
p00_03,2,15,net_actual_interchange_mw,0.25004178285598755
p00_03,2,15,gross_actual_interchange_mw,0.16938942670822144
p00_03,2,15,total_gen,0.8045212626457214
p00_03,2,15,metered_load_mw,0.8075094223022461
p00_03,2,15,total_losses,0.520054817199707
p00_03,2,15,congestion_price_da,0.11688888072967529
p00_03,2,15,congestion_price_rt,0.13446354866027832
p00_03,2,15,marginal_loss_price_da,0.31230753660202026
p00_03,2,15,total_lmp_da,0.4328286051750183
p00_03,2,15,da_as_total_mw_primary_reserve,0.11924940347671509
p00_03,2,15,da_as_total_mw_synchronized_reserve,0.12623828649520874
p00_03,2,15,da_as_total_mw_thirty_minutes_reserve,0.3206162452697754
p00_03,2,20,net_actual_interchange_mw,0.2492985725402832
p00_03,2,20,gross_actual_interchange_mw,0.15690600872039795
p00_03,2,20,total_gen,0.8049391508102417
p00_03,2,20,metered_load_mw,0.8068140745162964
p00_03,2,20,total_losses,0.5363596677780151
p00_03,2,20,congestion_price_da,0.11815392971038818
p00_03,2,20,congestion_price_rt,0.11303603649139404
p00_03,2,20,marginal_loss_price_da,0.3416205048561096
p00_03,2,20,total_lmp_da,0.4451372027397156
p00_03,2,20,da_as_total_mw_primary_reserve,0.12684237957000732
p00_03,2,20,da_as_total_mw_synchronized_reserve,0.1159285306930542
p00_03,2,20,da_as_total_mw_thirty_minutes_reserve,0.28666025400161743
