数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
NEM,机组出力_TUMUT3,uniform_cy,0.016580568626523018,-0.007160330191254616,0.06161894649267197,0.04591447487473488,-0.0299438634266456,0.030272587016224862,0.014338999055325985,0.579544920348502,0.5586414933204651,0,0
NEM,机组出力_PPCCGT,uniform_cy,0.013548990711569786,-0.012838248163461685,0.024944890290498734,0.014262497425079346,-0.0061852360765139265,0.008731049795945486,0.010940874926745892,0.5349690632465737,0.5058416724205017,0,0
NEM,机组出力_BW01,recon_cy,0.006725684739649296,-0.003907741513103247,0.023743128404021263,0.013977918773889542,-0.018550328041116396,0.018954940264423688,0.007746242452412844,0.23624431814806374,0.2254718542098999,0,0
NEM,机组出力_TUMUT3,recon_cy,0.015980752184987068,-0.0029050721786916256,0.06506673991680145,0.05128872022032738,-0.024405544996261595,0.027071640888849894,0.01343977265059948,0.5764199442913974,0.5574401617050171,0,0
NEM,机组出力_PPCCGT,recon_cy,0.008842911571264267,-0.007037567440420389,0.026849213987588882,0.01580866053700447,-0.004570364952087402,0.0075453648964564,0.007996909320354462,0.5270975763693284,0.5013191103935242,0,0
NEM,机组出力_BW01,recon+random_cy,0.005957266315817833,-0.0013922631042078137,0.0264825988560915,0.015959229320287704,-0.015772178024053573,0.016491644829511643,0.006883541587740183,0.2366593471736655,0.230940580368042,0,0
NEM,机组出力_TUMUT3,recon+random_cy,0.016199905425310135,-0.0006580064073204994,0.06685562431812286,0.0513421855866909,-0.02107019710044066,0.024664895112315812,0.013426261022686958,0.5614762138846389,0.5430912971496582,0,0
NEM,机组出力_PPCCGT,recon+random_cy,0.007840869948267937,-0.004640042316168547,0.02849632501602173,0.017143307253718376,-0.0001564621925354004,0.005203060309092204,0.00719004450365901,0.5418900352086993,0.5185551643371582,0,0
NEM,机组出力_BW01,uniformE_cy,0.007606316823512316,-0.005173019599169493,0.023186108097434044,0.012992782518267632,-0.018635769933462144,0.019124849885702132,0.008624757640063763,0.2707808710201792,0.25898629426956177,0,0
NEM,机组出力_TUMUT3,uniformE_cy,0.01611790806055069,-0.004576466511934996,0.06213832646608353,0.04821121692657471,-0.02785898676762978,0.028475175611674786,0.013676109723746777,0.5802821655147331,0.5598548054695129,0,0
NEM,机组出力_PPCCGT,uniformE_cy,0.010670008137822151,-0.009211127646267414,0.02557588368654251,0.014234433881938457,-0.004748990138371785,0.00743652880191803,0.0093315364792943,0.5439900311695431,0.5160726308822632,0,0
NEM,机组出力_BW01,reconE_cy,0.0056989737786352634,-0.001037673675455153,0.02488390915095806,0.014545796439051628,-0.015716560433308283,0.01708810105919838,0.00662323459982872,0.23558907182717767,0.22817522287368774,0,0
NEM,机组出力_TUMUT3,reconE_cy,0.016163434833288193,-0.0004735731636174023,0.06565643846988678,0.05077386274933815,-0.023702673614025116,0.025699503223101296,0.012952331453561783,0.5768692537766018,0.5565189123153687,0,0
NEM,机组出力_PPCCGT,reconE_cy,0.007571858819574118,-0.004473034758120775,0.027655744925141335,0.01632288284599781,-0.001225951313972473,0.005500084161758423,0.006989114917814732,0.5358273940257632,0.5099329948425293,0,0
NEM,机组出力_BW01,recon+random@1_cy,0.006174121052026749,-0.0017591495998203754,0.02671399898827076,0.016445811837911606,-0.013320765271782876,0.01610547738770644,0.007025616709142923,0.25180908228145155,0.244920551776886,0,0
NEM,机组出力_TUMUT3,recon+random@1_cy,0.016124887391924858,-0.000694173329975456,0.0683179721236229,0.052109453827142715,-0.02031960661212603,0.023122943192720413,0.01329958625137806,0.5610889174948315,0.5424317121505737,0,0
NEM,机组出力_PPCCGT,recon+random@1_cy,0.007990695536136627,-0.004968872759491205,0.02856847457587719,0.01639556884765625,-0.001313576598962148,0.006385984520117442,0.0073301950469613075,0.5310293516376279,0.5052781105041504,0,0
NEM,机组出力_BW01,recon+random@2_cy,0.006034540943801403,-0.0015811494085937738,0.02659202739596367,0.016318969428539276,-0.014951880524555842,0.01647294039527575,0.006926871836185455,0.2531731747902707,0.24626916646957397,0,0
NEM,机组出力_TUMUT3,recon+random@2_cy,0.01605224609375,-0.0008988626068457961,0.06752388924360275,0.05192108079791069,-0.02473537760476271,0.02606996235748132,0.013314983807504177,0.5619076818339204,0.5428825616836548,0,0
NEM,机组出力_PPCCGT,recon+random@2_cy,0.007841864600777626,-0.004785529337823391,0.028209354728460312,0.01686219312250614,-0.00148380051056544,0.005680976808071137,0.007212786469608545,0.5355063191801932,0.5092769861221313,0,0
PJM-load,metered_load_mw,random,0.05644799768924713,-0.054993968456983566,0.15280774235725403,0.11783130466938019,0.038562284274534744,0.0698902972719886,0.0320548340678215,0.721841512952603,0.7218384742736816,234,0
PJM-load,metered_load_mw,uniform,0.06569778174161911,-0.06462236493825912,0.09790875762701035,0.09189584851264954,-0.024599264629862526,0.033383119851350784,0.033829472959041595,0.7434544962122627,0.7426799535751343,280,0
PJM-load,metered_load_mw,small,0.06817957013845444,-0.06730250269174576,0.09581205993890762,0.09720515459775925,-0.022580698132514954,0.03290997581048445,0.03484830632805824,0.7447359718810171,0.7444270253181458,294,0
PJM-load,metered_load_mw,recon,0.05089736357331276,-0.04873666539788246,0.15386734902858734,0.11758501827716827,0.045990083027969704,0.06752073290673169,0.02896064706146717,0.7174292799560293,0.7173395156860352,193,0
PJM-load,metered_load_mw,small_recon,0.05391552299261093,-0.05210769176483154,0.10119111835956573,0.08930554240942001,-0.018811715258793396,0.026309985667467117,0.02963501587510109,0.731926344126002,0.7294796705245972,218,0
PJM-load,metered_load_mw,uniform+random,0.05231981351971626,-0.05024084448814392,0.1585686355829239,0.11334369331598282,0.047084208239208565,0.07163369520144029,0.029622912406921387,0.7205668958833732,0.7200500965118408,207,0
PJM-load,metered_load_mw,recon+random,0.04668160900473595,-0.0442260205745697,0.1576172411441803,0.11752086877822876,0.050787683237682686,0.06806698847900737,0.027880951762199402,0.6979559494550636,0.6979301571846008,149,0
PJM-load,metered_load_mw,uniformE,0.0597599633038044,-0.058109477162361145,0.0951743796467781,0.09761399030685425,-0.02775816856460138,0.03209752487865361,0.03197379410266876,0.7431556638481818,0.7427334189414978,258,0
PJM-load,metered_load_mw,reconE,0.04612085968255997,-0.04308028519153595,0.09329640865325928,0.09677284955978394,-0.011503483084115114,0.021650214086879383,0.02641741931438446,0.7279973122767107,0.7273033857345581,152,0
PJM-load,metered_load_mw,random_cy,0.05456303805112839,-0.052978675812482834,0.07593988627195358,0.08547092974185944,-0.029901502992619167,0.030066987160931934,0.029813505709171295,0.7393657580820359,0.7376653552055359,225,0
PJM-load,metered_load_mw,uniform_cy,0.06445176154375076,-0.06332363188266754,0.08150370419025421,0.09021614491939545,-0.027025578712875194,0.03200665217908946,0.0331815741956234,0.746320912177341,0.7454617619514465,277,0
PJM-load,metered_load_mw,recon_cy,0.04951495677232742,-0.04730965942144394,0.08155941963195801,0.09241415560245514,-0.021496868269010025,0.02343096313151446,0.027483396232128143,0.7299070638828841,0.7277740240097046,185,0
PJM-load,metered_load_mw,recon+random_cy,0.04443153366446495,-0.041818682104349136,0.061469923704862595,0.06210631504654884,-0.01705677333203229,0.018790210512551395,0.02546500414609909,0.722401256135539,0.7131035327911377,126,0
PJM-load,metered_load_mw,uniformE_cy,0.05894693359732628,-0.05726214498281479,0.06976360827684402,0.08834034949541092,-0.03140503540635109,0.03173055262728171,0.031343504786491394,0.7465651532945252,0.7457616329193115,257,0
PJM-load,metered_load_mw,reconE_cy,0.04521212354302406,-0.04212288558483124,0.0642613098025322,0.08009032905101776,-0.022141326557506214,0.022917297753420742,0.025427736341953278,0.7354881808651682,0.7331921458244324,146,0
PJM-load,metered_load_mw,recon+random@1_cy,0.04551709443330765,-0.0429157130420208,0.07030200958251953,0.07918313890695572,-0.021516079929741947,0.02232036062262275,0.025902889668941498,0.7270625704103988,0.7240524291992188,140,0
